"ID","NAME","LVL","YEAR","ORGS","G","GS","IP","ERA","WOBA","FIP","BABIP","LD_RATE","GB_RATE","FB_RATE","HR_FB","BB_RATE","SO_RATE","NITRORATE","SWM","CHASERATE","EV_70"
4441,"Bedrosian, Cam",AAA,2021,"OAK, PHI",20,0,25.0,1.8,0.272623,2.911,0.283582,0.228571,0.342857,0.357143,0.035714,0.078431,0.245098,19.100,26.500,29.000,94.1220132
111812305,"Kuzia, Joe",AA,2021,"MIN, TEX",9,0,7.0,18.0,0.5303139535,9.178,0.434783,0.291667,0.333333,0.208333,0.111111,0.25,0.136364,26.700,25.000,20.800,90.72271199999999
111811267,"Tice, Ty",AAA,2021,"ARI, ATL, TOR",23,0,21.2,9.14,0.425331068,8.369,0.3,0.188406,0.289855,0.42029,0.205882,0.135922,0.184466,19.400,26.800,26.800,91.90505919999998
111828316,"Cruz, Julio",Rk-,2021,KC,13,0,25.0,3.96,0.3049867925,2.451,0.3,0.173913,0.42029,0.318841,0.0,0.074766,0.242991,7.200,27.100,26.500,86.23840719999998
111815690,"Faucher, Calvin",AA,2021,"MIN, TB",21,0,35.1,6.11,0.3903670659,5.182,0.384615,0.193878,0.489796,0.204082,0.2,0.142857,0.27381,11.300,30.400,25.300,89.48125299999998
111825693,"Salas, Moises",Rk-,2021,BAL,7,1,5.1,16.87,0.4988058824,9.023,0.333333,0.285714,0.214286,0.214286,0.0,0.382353,0.205882,0.000,21.600,10.100,83.06279699999997
111826264,"Grateron, Jose",Rk-,2021,LA,17,0,27.0,2.67,0.3398504505,4.729,0.242857,0.164384,0.438356,0.30137,0.111111,0.122807,0.201754,9.600,20.200,26.400,87.30034399999998
111813571,"Henry, Isaiah",Rk,2021,KC,5,4,5.1,0.0,0.17682,1.047,0.25,0.142857,0.857143,0.0,,0.1,0.5,10.000,44.700,38.300,72.96749100000002
111796969,"Young, Alex",AAA,2022,"CLE, SF",33,0,35.0,3.34,0.2948601399,3.282,0.329114,0.188235,0.494118,0.258824,0.192308,0.0625,0.347222,16.700,38.000,37.500,93.730095
109501187,"Givens, Mychal",MLB,2022,"CHC, NYM",53,0,53.0,3.91,0.3278586667,4.173,0.315789,0.22695,0.425532,0.255319,0.163265,0.096491,0.267544,20.600,23.800,25.500,89.91703867818985
111793003,"Wendelken, J.B.",MLB,2021,"ARI, OAK",46,0,43.2,4.33,0.3137858639,3.878,0.310078,0.225564,0.458647,0.240602,0.095238,0.113402,0.201031,13.500,21.100,22.700,91.56606860041998
111801141,"Shaps, Andrew",A+,2022,"DET, LA",19,0,19.1,6.05,0.38854,6.324,0.32,0.22,0.52,0.2,0.0,0.235849,0.207547,10.000,31.800,25.600,89.01435719999999
111809021,"Miller, Tyson",AAA,2021,"CHC, TEX",23,10,61.1,3.23,0.3017770751,4.515,0.272727,0.161491,0.47205,0.242236,0.118644,0.098814,0.256917,13.000,29.200,27.400,89.21061359999999
111844120,"Linares, Jose",Rk-,2022,ARI,15,0,29.1,1.23,0.1959973684,0.981,0.206349,0.180328,0.42623,0.344262,0.0,0.078947,0.350877,4.500,37.900,32.200,84.25553599999999
111821983,"Reynoso, Jeffry",Rk,2021,KC,6,3,7.1,12.27,0.4703837838,9.127,0.318182,0.181818,0.5,0.272727,0.285714,0.189189,0.135135,18.200,20.800,11.100,96.7416
110690994,"Hembree, Heath",AAA,2022,"LA, PIT",12,0,11.1,5.56,0.3224787234,4.416,0.28,0.166667,0.466667,0.233333,0.25,0.102041,0.346939,33.300,28.700,35.200,88.14116260466166
36950,"Arrieta, Jake",MLB,2021,"CHC, SD",24,24,98.2,7.39,0.4051950324,6.032,0.342949,0.270588,0.452941,0.238235,0.266667,0.093817,0.176972,23.000,17.700,24.800,93.74101119407472
111840336,"Victorino, Omar",Rk-,2022,NYM,13,11,37.0,5.11,0.3738450867,4.204,0.282828,0.192308,0.371795,0.294872,0.060606,0.183908,0.212644,10.300,25.400,21.900,86.625335
111796199,"Anderson, Shaun",MLB,2021,"BAL, MIN, SD",16,0,23.1,8.49,0.3935544715,5.457,0.367816,0.21978,0.417582,0.263736,0.121212,0.096774,0.153226,22.900,24.500,22.900,94.44056294737052
110816550,"Wisler, Matthew",MLB,2021,"SF, TB",48,0,48.2,3.7,0.2858226804,2.903,0.304348,0.280992,0.256198,0.347107,0.107143,0.05641,0.317949,16.900,32.400,27.500,91.11035589884332
111823632,"Lopez, Luis",Rk-,2022,DET,5,0,7.2,7.04,0.4165857143,5.583,0.291667,0.1875,0.375,0.3125,0.142857,0.142857,0.114286,0.000,24.200,23.100,84.75086899999998
111809031,"Dugger, Robert",AAA,2022,"CIN, TB",15,12,58.2,4.3,0.3403463415,4.824,0.279762,0.170455,0.375,0.357955,0.088608,0.097561,0.182927,17.800,18.600,26.100,90.903203
111839481,"Jorge, Wilyer",Rk,2022,HOU,10,1,22.0,7.77,0.4347581818,7.914,0.222222,0.109091,0.327273,0.363636,0.2,0.190909,0.209091,13.000,29.900,22.600,87.33627
111839944,"Gutierrez, Jose",Rk-,2022,KC,7,5,17.2,3.06,0.2865521127,2.073,0.259259,0.145455,0.436364,0.363636,0.043478,0.028169,0.197183,10.900,15.400,25.000,87.301328
111840449,"Moreno, Edwin",Rk-,2022,DET,14,8,37.1,5.54,0.371697093,2.877,0.37,0.115789,0.463158,0.263158,0.075,0.093023,0.273256,4.200,32.200,26.800,84.097666
111824332,"Polanco, Sarlin",Rk,2022,ARI,14,0,11.1,10.32,0.4105970149,7.656,0.310345,0.153846,0.423077,0.384615,0.090909,0.268657,0.208955,11.500,40.900,24.800,89.64993185235801
111796969,"Young, Alex",MLB,2022,"CLE, SF",14,0,12.2,2.84,0.35235,3.128,0.375,0.3,0.5,0.175,0.0,0.12069,0.189655,18.800,33.300,35.500,94.46461143643215
111821460,"Plunkett, Zack",AA,2022,"LA, OAK",23,0,35.2,7.07,0.380605625,6.88,0.295652,0.198413,0.420635,0.277778,0.212766,0.061728,0.154321,18.400,15.400,26.900,93.27601050000001
111781097,"Williams, Trevor",AAA,2021,"CHC, NYM",4,4,19.0,1.42,0.2166625,3.213,0.188679,0.107143,0.482143,0.285714,0.047619,0.040541,0.202703,11.100,17.300,39.400,87.2576925
4241,"Cessa, Luis",MLB,2021,"CIN, NYY",53,0,64.2,2.51,0.2768282946,3.34,0.273224,0.242105,0.521053,0.157895,0.116279,0.072797,0.206897,18.400,25.500,32.500,92.88184369118032
110690994,"Hembree, Heath",MLB,2021,"CIN, NYM",60,0,58.0,5.59,0.3113252066,4.244,0.270492,0.238806,0.276119,0.335821,0.184615,0.098765,0.341564,21.600,25.300,28.900,88.23140477347005
111829318,"Palencia, Daniel",A,2021,"CHC, OAK",13,13,41.1,4.79,0.3420861111,5.136,0.305263,0.23,0.29,0.41,0.104167,0.133333,0.288889,16.000,30.200,22.200,90.51021649999998
111766838,"Murphy, Patrick",AAA,2021,"TOR, WAS",13,0,16.2,0.54,0.2472716418,2.539,0.263158,0.236842,0.578947,0.105263,0.0,0.134328,0.298507,7.900,22.900,24.000,88.954494
111825686,"Lacle, Adrion",Rk,2021,BAL,14,0,20.1,5.31,0.4061,4.963,0.369231,0.207547,0.396226,0.226415,0.142857,0.091837,0.193878,7.500,27.500,29.200,91.27273100000001
111836802,"Vicente, Jheremy",Rk-,2022,KC,12,7,34.1,4.19,0.308390604,3.427,0.247423,0.204082,0.397959,0.255102,0.0,0.166667,0.173333,4.100,23.500,23.500,87.44692
111802010,"Groome, Jay",AAA,2022,"BOS, SD",8,8,41.1,3.7,0.3544519337,4.708,0.336134,0.25,0.387097,0.274194,0.090909,0.099448,0.20442,19.500,20.300,28.900,89.50555963664688
111499720,"Bracho, Silvino",AAA,2022,"ATL, BOS",32,2,47.0,2.87,0.2960037433,2.86,0.321739,0.190083,0.363636,0.355372,0.076923,0.037433,0.304813,12.600,29.400,32.200,91.543974
109998039,"Bethancourt, Christian",MLB,2022,"OAK, TB",3,0,3.0,0.0,0.3018428571,3.369,0.333333,0.333333,0.25,0.416667,0.0,0.071429,0.071429,16.700,5.000,25.000,95.88215796056203
110678728,"Feliz, Michael",AAA,2021,"BOS, CIN",15,0,15.2,1.72,0.1876033898,1.276,0.236842,0.210526,0.289474,0.315789,0.0,0.016949,0.322034,13.200,26.900,34.400,89.83705100000002
111818348,"Perdomo, Alan",Rk-,2022,COL,18,0,24.0,5.25,0.3840823529,3.583,0.324324,0.173077,0.461538,0.269231,0.157895,0.048544,0.174757,3.400,19.100,32.500,87.88621599999998
111781317,"Lamet, Dinelson",MLB,2022,"COL, SD",21,0,21.0,6.43,0.3632581633,4.83,0.327273,0.233333,0.333333,0.316667,0.125,0.122449,0.255102,25.700,34.200,22.800,94.51680359212624
110294439,"Giles, Ken",AAA,2022,"SEA, SF",11,0,9.2,8.38,0.457626,10.385,0.275862,0.242424,0.333333,0.363636,0.285714,0.18,0.16,21.200,21.600,25.600,93.07150985716376
111839222,"Baez, Yohan",Rk-,2022,KC,13,3,26.0,8.31,0.4371162791,3.544,0.4,0.192308,0.397436,0.294872,0.0,0.138462,0.146154,6.400,22.700,25.700,84.281424
111825965,"Ribon, Kevin",Rk-,2021,NYM,17,8,52.2,1.2,0.2720373206,2.774,0.258278,0.220472,0.527559,0.188976,0.0,0.061905,0.190476,4.000,21.700,28.900,86.6902146
111793636,"Farmer, Buck",AAA,2021,"DET, TEX",24,0,26.1,3.76,0.2808601852,3.714,0.28,0.202532,0.405063,0.291139,0.033333,0.091743,0.201835,11.500,25.800,32.100,91.958205
111820353,"Martinez, Juan",Rk-,2021,KC,11,2,19.2,1.83,0.3792033708,4.278,0.340426,0.255319,0.425532,0.234043,0.071429,0.177778,0.255556,4.300,30.900,25.500,89.75280199999999
