"playerid","ip","name","projyear","percentile","war"
"111809519",16.0780876494024,Nathan Sweeney,2023.0,pct50,-0.0926486383227375
"111809519",17.1935871743487,Nathan Sweeney,2023.0,pct80,0.147211407151128
"111812046",16.5898,Brayan Mejia,2023.0,pct20,-0.652668369464447
"111812046",18.0444444444444,Brayan Mejia,2023.0,pct50,-0.32260914992944
"111812046",19.2150602409639,Brayan Mejia,2023.0,pct80,-0.0265343920637118
"111815157",18.0334,Wilser Barrios,2023.0,pct20,-0.540720864752167
"111815157",19.2796,Wilser Barrios,2023.0,pct50,-0.251626196861558
"111815157",20.2638834951456,Wilser Barrios,2023.0,pct80,0.016453015350459
"111815695",16.7842,Kyle Zurak,2023.0,pct20,-0.297335776050476
"111815695",17.8449101796407,Kyle Zurak,2023.0,pct50,-0.0424234931797501
"111815695",18.7128772635815,Kyle Zurak,2023.0,pct80,0.186977427422285
"111816279",17.5937119675456,Bryce Hutchinson,2023.0,pct20,-0.330572450409109
"111816279",18.5284274193548,Bryce Hutchinson,2023.0,pct50,-0.0756569500557913
"111816279",19.4271084337349,Bryce Hutchinson,2023.0,pct80,0.156220932430304
"111817559",22.6833001988072,Joey Gerber,2023.0,pct20,-0.254320489172183
"111817559",23.8457661290323,Joey Gerber,2023.0,pct50,0.0467667747651199
"111817559",24.7536144578313,Joey Gerber,2023.0,pct80,0.319921466168421
"111817949",23.8708249496982,Joel Condreay,2023.0,pct20,-0.459215349183334
"111817949",24.9874251497006,Joel Condreay,2023.0,pct50,-0.13867817398042
"111817949",26.1811623246493,Joel Condreay,2023.0,pct80,0.158298354990904
"111819643",17.5128514056225,Riley Cabral,2023.0,pct20,-0.379757600753073
"111819643",18.6631790744467,Riley Cabral,2023.0,pct50,-0.100631321624303
"111819643",19.5582995951417,Riley Cabral,2023.0,pct80,0.145325109898158
"111819662",13.2409181636727,Jacob Gilliland,2023.0,pct20,-0.15955985360302
"111819662",14.1266666666667,Jacob Gilliland,2023.0,pct50,0.0848204867313457
"111819662",15.0544,Jacob Gilliland,2023.0,pct80,0.309684510950464
"111819807",22.9017928286853,Yeankrlos Lleras,2023.0,pct20,-0.488340613359479
"111819807",24.4028282828283,Yeankrlos Lleras,2023.0,pct50,-0.164031202477323
"111819807",25.6037773359841,Yeankrlos Lleras,2023.0,pct80,0.12348950489381
"632",50.1002008032129,David Robertson,2023.0,pct20,-0.360591360136269
"632",51.4094674556213,David Robertson,2023.0,pct50,0.0892837431431777
"632",52.8546,David Robertson,2023.0,pct80,0.506774318772425
"3806",23.8334669338677,Taylor Davis,2023.0,pct20,-0.48540017351259
"3806",24.8790836653386,Taylor Davis,2023.0,pct50,-0.156816416370617
"3806",25.8746,Taylor Davis,2023.0,pct80,0.13322399582308
"37139",28.0287148594378,Pedro Florimon Jr.,2023.0,pct20,-0.517590711568905
"37139",29.383137254902,Pedro Florimon Jr.,2023.0,pct50,-0.162987733040755
"37139",30.4289421157685,Pedro Florimon Jr.,2023.0,pct80,0.160226122264593
"111795159",17.2929032258065,Conor Fisk,2023.0,pct20,-0.384063942910762
"111795159",18.3957364341085,Conor Fisk,2023.0,pct50,-0.0950264444191434
"111795159",19.1656,Conor Fisk,2023.0,pct80,0.1633465270244
